Gender,Faculty/School,Are you an Undergraduate or a Postgraduate?,Year,Have you cleared your Community Service Programme (CSP)  requirement?,How did you clear your CSP requirement? Please give a short description.,How are you planning to clear your CSP requirement?,Do you often see elderly in SMU or around SMU?Rate from 1 to 4 where 1 - Not at all and 4 - Very often - Frequency of seeing elderly in SMU or around SMU,"From your observation, what do the elderly usually do in SMU or around SMU?",Do you know that there are many elderly living near SMU such as Bras Basah Complex and Waterloo area?,"Other than your grandparents, how often do you interact with the elderly?Rate from 1 to 4 where 1 - Not at all and 4 - Very often - Frequency of interacting with elderly",Do you face any difficulties interacting with elderly?,What difficulties do you face?,Are you interested to participate in a local CSP at elderly centres?,"What do you think about developing SMU and the area around it as an Intergenerational Hub?
Our Vision of Intergenerational Hub: Elderly coming to SMU and facilities are available to promote healthy and active ageing as well as promote intergenerational interaction between elderly and youth.",Please elaborate for your choice in the previous question.,What benefits do you think SMU will get for branding itself as an Intergenerational Hub for youth and the elderly?,Do you think this Intergenerational Hub initiative will disrupt students' daily lives?,Please elaborate for your choice in the previous question.,Are you interested to participate in local CSPs which are to be conducted in SMU or around SMU?Rate from 1 to 4 where 1 - Not at all and 4 - Very interested - Interest level
Female,School of Information Systems,Undergraduate,Year 2,No,,Local projects,1,,No,4,No,,Yes,That's good!,-,Community involevement,No,-,4
Female,School of Social Sciences,Undergraduate,Year 2,Yes,Local CSP with Caretalyst,,2,,No,1,No,,Yes,Don't really feel good about it,Feels like it might slow down the pace of school life?,Inclusive school,No,It does not matter to students,3
Female,School of Information Systems,Undergraduate,Year 2,No,,Continue cca,1,,No,1,No,,Yes,That's good!,_,_,No,_,3
Female,School of Information Systems,Undergraduate,Year 2,Yes,Project with PSR,,1,,Yes,1,No,,No,That's good!,No time as busy with a project now,Multi-generational,No,Theres nothing bad with building relationships,2
Female,School of Business,Undergraduate,Year 2,Yes,"A project in PSR, SMU Arts Fest, Citi-SMU TTT programme",,3,"Helpers, food courts, profs?",No,1,No,,No,That's an excellent idea!,"I feel this is a great idea to promote awareness among SMU students about the various needs of elderlies in SG, thus enhancing their levels of empathy as well ",More holistic learning for its students about the people in our surroundings,No,"SMU is an open space and quite integrative, so I assume that the students are quite familiar with such acceptance already",4
Female,School of Information Systems,Undergraduate,Year 2,No,,signing up for volunteer events ,1,,No,1,No,,No,Not bad,nil,nil,Yes,"students usually have to rush off for meetings or classes, so if they were to bump into an elderly who needs help, it will put them in a difficult position ",3
Male,School of Information Systems,Undergraduate,Year 2,Yes,Joining campa,,3,Nil,No,4,No,,Yes,That's good!,Lessen social isolation ,Corporatw responsibility as a leading university ,Yes,Spend more time less time to study,3
Male,School of Information Systems,Undergraduate,Year 2,Yes,"Self-sourced, at an elderly care facility.",,1,,No,2,No,,Yes,That's good!,"I think it's good because most CSPs I noticed are focused on kids, sure it's good but that's also why I decided to help out at an elder care.",That we look out for our pioneer generation.,No,Depends on where it is I guess.,4
Male,School of Information Systems,Undergraduate,Year 4,Yes,Inspirar and SMU Challenge,,2,,Yes,2,No,,Yes,That's an excellent idea!,It will make the campus more inclusive and increase interaction between elderly and youth.,"Reputation, inclusiveness",No,It can be planned properly to not disrupt our lessons.,4
Male,School of Information Systems,Undergraduate,Year 1,No,,find local csp,2,,No,1,Yes,no patience,No,Don't really feel good about it,"they are gonna hog Koufu even more. and depends on where they're gonna be at, it's gonna cause traffic during change of lessons/peak periods",nothing much tbh. at most just get praised by govt or something. ultimately is what cause SMU wants to achieve,Yes,cause more crowds and traffic,1
Male,School of Information Systems,Undergraduate,Year 4,Yes,School csp ,,3,As cleaners ,Yes,1,No,,Yes,Not bad,Don't see why not ,Not sure,No,There's plenty of space ,2
Female,School of Business,Undergraduate,Year 4,Yes,Inspirar ,,2,,Yes,1,Yes,"language, im not great at mother tongue nor dialects",No,Not bad,Will students have the time & effort to interact?,More csr,No,Students always love finding things to do,3
Female,School of Business,Undergraduate,Year 4,Yes,Overseas Trip,,2,,Yes,2,Yes,Language barrier; one word answers when I start the conversation.,Yes,That's an excellent idea!,students won’t have the excuse of saying that they don’t have time to talk to the elderly/do CSP anymore ,Society will definitely have a better impression of SMU.,No,we have breaks in between classes anyway,4
Male,School of Business,Undergraduate,Year 1,No,,CSPs on ONTRAC,2,,No,1,No,,No,Don't really feel good about it,I don't dislike the elderly but I think SMU is still a university and should remain as such. It should remain as a place of learning and a space for its students.,Better understanding of the community as a whole and insightful experiences for students,Yes,It might obstruct the daily activities of students such as those trying to study or go to class.,3
